Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
494,Ryan Malone,35,NYR,LW,6,0,0,0,-4,4,0,0,0,0,0,0,0,6,0.0,60,10:02
495,Brandon Manning,24,PHI,D,11,0,3,3,3,7,0,0,0,0,3,0,0,10,0.0,189,17:10
496,Josh Manson,23,ANA,D,28,0,3,3,1,31,0,0,0,0,3,0,0,26,0.0,516,18:26
497,Brad Marchand,26,BOS,LW,77,24,18,42,5,95,20,2,2,5,17,0,1,180,13.3,1301,16:54
498,Alexey Marchenko,23,DET,D,13,1,1,2,1,2,1,0,0,0,1,0,0,7,14.3,201,15:26
499,Martin Marincin,22,EDM,D,41,1,4,5,-4,16,1,0,0,0,4,0,0,38,2.6,765,18:39
500,Andrei Markov,36,MTL,D,81,10,40,50,22,38,6,4,0,1,18,21,1,135,7.4,2018,24:55
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
501,Patrick Marleau,35,SJS,LW,82,19,38,57,-17,12,12,7,0,4,21,17,0,233,8.2,1606,19:35
502,Patrick Maroon,26,ANA,LW,71,9,25,34,-5,82,8,1,0,1,19,6,0,120,7.5,1014,14:17
503,Matt Martin,25,NYI,LW,78,8,6,14,-4,114,8,0,0,2,6,0,0,90,8.9,879,11:16
504,Paul Martin,33,PIT,D,74,3,17,20,17,20,3,0,0,0,16,1,0,61,4.9,1687,22:47
505,Alec Martinez,27,LAK,D,56,6,16,22,9,10,5,1,0,1,13,3,0,103,5.8,1116,19:56
506,Jordan Martinook,22,ARI,C,8,0,1,1,-3,0,0,0,0,0,1,0,0,8,0.0,94,11:42
507,Stefan Matteau,20,NJD,LW,7,1,0,1,0,4,1,0,0,0,0,0,0,8,12.5,83,11:52
508,Shawn Matthias,26,VAN,C,78,18,9,27,-3,16,17,1,0,0,8,0,1,132,13.6,1022,13:06
509,Jamie McBain,26,LAK,D,26,3,6,9,4,4,2,1,0,0,4,2,0,18,16.7,330,12:41
510,Jake McCabe,21,BUF,D,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,11:08
511,Jay McClement,31,CAR,C,82,7,14,21,-7,17,7,0,0,2,14,0,0,68,10.3,1113,13:35
512,Cody McCormick,31,BUF,C,33,1,3,4,-9,40,0,0,1,0,3,0,0,31,3.2,387,11:43
513,Ryan McDonagh,25,NYR,D,71,8,25,33,23,26,5,3,0,2,13,9,3,148,5.4,1642,23:08
514,Colin McDonald,30,NYI,RW,18,2,6,8,-3,0,2,0,0,0,6,0,0,29,6.9,189,10:30
515,Jamie McGinn,26,COL,LW,19,4,2,6,-9,6,3,1,0,0,2,0,0,36,11.1,281,14:46
516,Tye McGinn,24,TOT,LW,51,2,5,7,0,21,2,0,0,0,5,0,0,60,3.3,515,10:06
517,Brian McGrattan,33,CGY,RW,8,0,0,0,-2,4,0,0,0,0,0,0,0,10,0.0,53,6:38
518,Dylan McIlrath,22,NYR,D,1,0,0,0,0,9,0,0,0,0,0,0,0,0,,8,8:02
519,Greg McKegg,22,TOR,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,9:11
520,Curtis McKenzie,23,DAL,LW,36,4,1,5,-8,48,4,0,0,0,1,0,0,41,9.8,415,11:32
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
521,Cody McLeod,30,COL,LW,82,7,5,12,-2,191,6,0,1,2,5,0,0,94,7.4,917,11:11
